iter	Passed	Remaining
412	3669	5215
413	3680	5209
414	3689	5201
415	3698	5192
416	3708	5184
417	3718	5177
418	3728	5169
419	3737	5161
420	3746	5152
421	3756	5145
422	3766	5137
423	3775	5128
424	3783	5118
425	3792	5109
426	3801	5100
427	3809	5091
428	3818	5082
429	3827	5073
430	3835	5063
431	3844	5054
432	3853	5045
433	3861	5036
434	3870	5026
435	3878	5017
436	3887	5008
437	3896	4999
438	3904	4989
439	3912	4979
440	3921	4970
441	3930	4961
442	3938	4952
443	3947	4943
444	3955	4933
445	3964	4924
446	3973	4915
447	3982	4906
448	3991	4897
449	3999	4888
450	4008	4879
451	4017	4870
452	4025	4860
453	4033	4850
454	4042	4842
455	4051	4832
456	4059	4823
457	4067	4813
458	4076	4804
459	4085	4795
460	4094	4786
461	4102	4777
462	4111	4768
463	4120	4759
464	4128	4750
465	4137	4741
466	4146	4732
467	4155	4724
468	4163	4714
469	4172	4705
470	4181	4696
471	4189	4686
472	4198	4677
473	4206	4668
474	4215	4659
475	4224	4650
476	4233	4641
477	4242	4633
478	4250	4623
479	4259	4614
480	4268	4605
481	4276	4596
482	4285	4587
483	4294	4578
484	4303	4569
485	4312	4560
486	4320	4551
487	4329	4542
488	4338	4533
489	4347	4524
490	4355	4515
491	4364	4506
492	4373	4497
493	4382	4488
494	4391	4479
495	4400	4471
496	4408	4461
497	4417	4452
498	4426	4443
499	4434	4434
500	4443	4425
501	4452	4417
502	4460	4407
503	4469	4398
504	4477	4388
505	4485	4379
506	4494	4370
507	4503	4361
508	4512	4352
509	4520	4343
510	4529	4334
511	4537	4324
512	4546	4316
513	4554	4306
514	4563	4297
515	4572	4288
516	4580	4279
517	4589	4270
518	4597	4261
519	4606	4252
520	4614	4242
521	4623	4233
522	4632	4224
523	4640	4215
524	4649	4206
525	4658	4197
526	4667	4188
527	4675	4179
528	4683	4170
529	4691	4160
530	4700	4151
531	4708	4142
532	4716	4132
533	4725	4123
534	4734	4114
535	4742	4105
536	4751	4097
537	4760	4087
538	4768	4078
539	4776	4069
540	4785	4060
541	4793	4050
542	4802	4041
543	4811	4032
544	4819	4023
545	4827	4014
546	4835	4004
547	4844	3995
548	4852	3986
549	4860	3976
550	4870	3968
551	4878	3959
552	4886	3949
553	4895	3941
554	4903	3931
555	4912	3922
556	4920	3913
557	4929	3904
558	4938	3896
559	4947	3887
560	4955	3877
561	4963	3868
562	4971	3859
563	4980	3850
564	4988	3840
565	4996	3831
566	5004	3822
567	5013	3813
568	5022	3804
569	5031	3795
570	5040	3786
571	5048	3777
572	5057	3769
573	5066	3760
574	5075	3751
575	5083	3742
576	5092	3733
577	5101	3724
578	5110	3716
579	5118	3706
580	5127	3698
581	5136	3689
582	5145	3680
583	5153	3670
584	5162	3662
585	5171	3653
586	5179	3644
587	5187	3634
588	5195	3625
589	5204	3616
590	5212	3607
591	5221	3598
592	5231	3590
593	5239	3581
594	5248	3572
595	5256	3562
596	5264	3553
597	5273	3544
598	5282	3536
599	5291	3527
600	5299	3518
601	5307	3509
602	5315	3499
603	5324	3490
