iter	MultiClass
281	0.0894534961
282	0.08935751407
283	0.08923434783
284	0.08911809264
285	0.08904599978
286	0.0888652338
287	0.08877290116
288	0.08850079414
289	0.08836142089
290	0.08823562824
291	0.088165659
292	0.08797518905
293	0.08786823953
294	0.08779374641
295	0.08765793907
296	0.08753233566
297	0.08738322936
298	0.0871893003
299	0.08705923777
300	0.08695062379
301	0.08678021494
302	0.08668090341
303	0.08649621639
304	0.0863266914
305	0.08615016104
306	0.08612188554
307	0.08607043868
308	0.08587763752
309	0.08578661781
310	0.08567379789
311	0.08549556993
312	0.08533636358
313	0.08519174328
314	0.08507118614
315	0.0849367756
316	0.08480093397
317	0.08465432311
318	0.08456836908
319	0.08445260191
320	0.08429422956
321	0.08408006592
322	0.08398152927
323	0.0837951206
324	0.08363514875
325	0.08345316914
326	0.08330221367
327	0.08314814942
328	0.0828963712
329	0.08276921652
330	0.08269921116
331	0.08261168121
332	0.0825541635
333	0.08242091267
334	0.08230117778
335	0.08224585627
336	0.08214320447
337	0.0820798513
338	0.08188692295
339	0.08178934177
340	0.08170801533
341	0.08153649177
342	0.08145084898
343	0.08138625522
344	0.08131632039
345	0.08116506354
346	0.08104256265
347	0.08094479589
348	0.08087597015
349	0.08077712403
350	0.08065470665
351	0.0804051683
352	0.08025657502
353	0.08015413933
354	0.08003450364
355	0.0798787352
356	0.07960879207
357	0.07944129029
358	0.07939061612
359	0.07917937291
360	0.07903619871
361	0.07893652798
362	0.07884710053
363	0.07873791966
364	0.07868284813
365	0.07853385923
366	0.07845772924
367	0.07829864848
368	0.07820063359
369	0.07810221454
370	0.07794634962
371	0.07778524166
372	0.07764955237
373	0.0776087682
374	0.07743461633
375	0.07731388672
376	0.07718458385
377	0.07713722168
378	0.07701144033
379	0.07685264605
380	0.07676454888
381	0.07669706093
382	0.07658744714
383	0.07644170657
384	0.07635314727
385	0.07624655733
386	0.07619040528
387	0.07602397956
388	0.07588999609
389	0.07581667554
390	0.07568923868
391	0.07550304477
392	0.07541253896
393	0.07529129965
394	0.07519775713
395	0.07503646121
396	0.07488156917
397	0.07480987592
398	0.07474572111
399	0.07463996504
400	0.07454296005
401	0.07447992559
402	0.07431883853
403	0.07424537758
404	0.0741260498
405	0.07399393811
406	0.07392902961
407	0.07387180632
408	0.07377547688
409	0.07367299612
410	0.07358463348
411	0.07352019509
412	0.07339932916
413	0.07329787479
414	0.07323111039
415	0.07312104928
416	0.07299337647
417	0.07278206192
418	0.07264561263
419	0.07248928363
420	0.07241126794
421	0.07228491572
422	0.07220141456
423	0.07208856303
424	0.07205196805
425	0.07196115731
426	0.07185626034
427	0.07174191008
428	0.0716625808
429	0.0715878372
430	0.07149555298
431	0.07131111448
432	0.07118236022
433	0.07110184766
434	0.07101325007
435	0.07093600818
436	0.07075579085
437	0.07066486601
438	0.07056641226
439	0.07052795622
440	0.0704639426
441	0.07033980247
442	0.0702836899
443	0.07017599625
444	0.0700143982
445	0.06989349668
446	0.06979486316
447	0.06964776238
448	0.06953789914
449	0.0694558963
450	0.06935843957
451	0.0692979725
452	0.06923213711
453	0.0691692868
454	0.06910393106
455	0.06900191248
456	0.06887662582
457	0.06877573925
458	0.06872344637
459	0.06853812417
460	0.06837385584
461	0.06832174825
462	0.06826646355
463	0.06817945971
464	0.06806754567
465	0.06801159619
466	0.06788842733
467	0.06773371084
468	0.06765792642
469	0.0675484058
470	0.06747785182
471	0.06731701113
472	0.06717326915
473	0.06706824099
474	0.06698780578
475	0.06686990901
476	0.06678486513
477	0.06671216496
478	0.06661662124
479	0.06655546184
480	0.06648356097
481	0.06633975861
482	0.06623934931
483	0.0661695137
484	0.06602603876
485	0.06589989858
486	0.06575671526
487	0.06570310927
488	0.06558675758
489	0.06550336178
490	0.06538863674
491	0.06532140744
492	0.065221047
493	0.0651418241
494	0.06506214982
495	0.064988632
496	0.06492044049
497	0.06483770164
498	0.06473255076
499	0.0646398237
500	0.06458113196
501	0.06451633252
502	0.06441837441
503	0.06431654362
504	0.06423929249
505	0.06414113297
506	0.06407985909
507	0.06400286592
508	0.06392766039
509	0.06384959789
510	0.06379414119
511	0.06374962528
512	0.06364541332
513	0.06355325073
514	0.06350477601
515	0.06341443481
516	0.06328876525
517	0.06316430447
518	0.06311000442
519	0.06301528277
520	0.06292747114
521	0.0628286825
522	0.06275503857
523	0.06266283146
524	0.06255056886
525	0.0624309796
526	0.0623177915
527	0.06220814418
528	0.06209280692
529	0.06203181269
530	0.06187850709
531	0.06182635098
532	0.06176552191
533	0.06166488864
534	0.06162158148
535	0.06149333974
536	0.06137342207
537	0.06132096149
538	0.06122907897
539	0.06115404485
540	0.0610782865
541	0.06103017002
542	0.06092327847
543	0.06078001461
544	0.0607017331
545	0.06055301448
546	0.06048940981
547	0.06035748323
548	0.0602956415
549	0.06024102267
550	0.0601209869
551	0.06003094902
552	0.0599602273
553	0.05991826786
554	0.05982396359
555	0.05968703519
556	0.05957811339
557	0.05950881908
558	0.0594284696
559	0.05933844084
560	0.05923373836
561	0.0591300807
562	0.05904301557
563	0.05898923377
564	0.05891190486
565	0.05885388345
566	0.0587627541
567	0.05867681499
568	0.05861940461
569	0.0585254726
570	0.05836695286
571	0.05827345675
572	0.05820048073
573	0.05805871036
574	0.05799812062
575	0.05788773818
576	0.05781770511
577	0.05775432579
578	0.05765313386
579	0.05760565093
580	0.05748887036
581	0.0574175361
582	0.05733362328
583	0.05726593731
584	0.05715543014
585	0.05706931507
586	0.05695064027
587	0.05690100149
588	0.05683519207
589	0.05674825056
590	0.05664221409
591	0.05653422151
592	0.05644782286
593	0.05641159237
594	0.05631729341
595	0.05625094002
596	0.05615054104
597	0.05604157525
598	0.0559914124
599	0.05589770171
600	0.05582572883
601	0.05574965082
602	0.05567720893
603	0.05559418212
604	0.05553864301
605	0.05548060821
606	0.05546218575
607	0.05534626077
608	0.05526669536
609	0.05518211137
610	0.05508833983
611	0.05499925019
612	0.05495999178
613	0.05491377937
614	0.05488128183
615	0.05477665657
616	0.05471026057
617	0.0546626889
618	0.0546164256
619	0.0545342513
620	0.05446759108
621	0.05441057765
622	0.05433733296
623	0.05427430654
624	0.05420991612
625	0.05411280676
626	0.05401526234
627	0.05398942584
628	0.05394222111
629	0.0538773996
630	0.05382714651
631	0.05374468512
632	0.05364762342
633	0.0535963901
634	0.0535133712
635	0.05338545233
636	0.05336262126
637	0.05328242457
638	0.05320702058
639	0.05313574643
640	0.05309088516
641	0.05300348256
642	0.05294125126
643	0.05287230461
644	0.05277787615
645	0.05271157105
646	0.05263647091
647	0.05251338396
648	0.05243508395
649	0.05233290439
650	0.05227717962
651	0.05223668361
652	0.05216266069
653	0.0520959906
654	0.0520094795
655	0.05190863286
656	0.05182228178
657	0.05174704399
658	0.05169447795
659	0.05159689141
660	0.05156789306
661	0.05151517069
662	0.05148314757
663	0.05143409248
664	0.05139079572
665	0.05133944418
666	0.0512953462
667	0.05117410296
668	0.05111036136
669	0.05101779136
670	0.05097291425
671	0.05092736099
672	0.05085492659
673	0.05071509399
674	0.05061593567
675	0.05058153446
676	0.05046256165
677	0.05041763909
678	0.05034415629
679	0.05027246417
680	0.05016718354
681	0.05010348227
682	0.0500324381
683	0.04998373405
684	0.04992421871
685	0.04983467986
686	0.04971798323
687	0.04966591009
688	0.04959916321
689	0.04945307479
690	0.04938981039
691	0.0493637412
692	0.04930968783
693	0.04924292933
694	0.04916420814
695	0.04911114007
696	0.04904934614
697	0.04899745771
698	0.04889060755
699	0.04875115342
700	0.04865154951
701	0.04862724389
702	0.04856674586
703	0.048504026
704	0.04844594835
705	0.04841085195
706	0.04834062846
707	0.04829259259
708	0.04820311723
709	0.04813764608
710	0.04803780076
711	0.04797299973
712	0.04790697147
713	0.04786339153
714	0.04778846466
715	0.04773301997
716	0.04769746959
717	0.04761453898
718	0.0475586271
719	0.04749801416
720	0.04740151055
721	0.04737579553
722	0.04734112638
723	0.04729868953
724	0.04724236313
725	0.04717649001
726	0.04711814587
727	0.04703443949
728	0.04699631451
729	0.04696281807
730	0.04690455684
731	0.04688007937
732	0.04681838561
733	0.04676178729
734	0.04671100299
735	0.04662201137
736	0.04656303283
737	0.04652462685
738	0.04646378241
739	0.04638621573
740	0.04631139338
741	0.04625874067
742	0.04619552323
743	0.04614371131
744	0.04607301147
745	0.04601564735
746	0.04594566261
747	0.04587120411
748	0.04582525784
749	0.04574288013
750	0.04570477255
751	0.04566444794
752	0.04560625907
753	0.04555136259
754	0.04551750588
755	0.0454814973
756	0.04537526591
757	0.04532721575
758	0.04525702738
759	0.04522381733
760	0.04514454748
761	0.04507067085
762	0.04501082183
763	0.04490755107
764	0.04485995094
765	0.04477964923
766	0.04471439107
767	0.04464081202
768	0.04458325322
769	0.04447407434
770	0.04442038588
771	0.04435606338
772	0.04426460086
773	0.04420283864
774	0.04413680955
775	0.04407231719
776	0.04404043745
777	0.04400009989
778	0.04398469151
779	0.04393938948
780	0.0438959631
781	0.04384085581
782	0.04377449537
783	0.04376484067
784	0.04373151095
785	0.04370553911
786	0.04366165224
787	0.04360625469
788	0.04358108779
789	0.04353297894
790	0.04349380672
791	0.04345685275
792	0.04342561888
793	0.0434048387
794	0.04335480262
795	0.04330550992
796	0.04322803699
797	0.04320240288
798	0.04312911001
799	0.04306263045
800	0.04300742415
801	0.0429479661
802	0.04287001493
803	0.04281702559
804	0.04274213334
805	0.04268872585
806	0.042619223
807	0.04256944106
808	0.04252840108
809	0.0424848436
810	0.04244192682
811	0.04240448752
812	0.04232733509
813	0.04229940153
814	0.04220734726
815	0.04212301267
816	0.04206724712
817	0.04197619554
818	0.04192320737
819	0.04186690577
820	0.04180614233
821	0.04177597501
822	0.0417362781
823	0.04167823663
824	0.04159925404
825	0.04158789448
826	0.0415188669
827	0.04147427329
828	0.0414324275
829	0.04136351451
830	0.04130009859
831	0.04125983231
832	0.04121373903
833	0.04117709735
834	0.0411372671
835	0.0410669485
836	0.04102489007
837	0.04098502429
838	0.04093085513
839	0.04088968504
840	0.04082985318
841	0.04078304566
842	0.04071927724
843	0.04065785604
844	0.04058778603
845	0.04055432216
846	0.04051277778
847	0.0404854195
848	0.0404656134
849	0.04044435132
850	0.04039195108
851	0.04032347967
852	0.04028762158
853	0.04022309252
854	0.04019500056
855	0.04016075071
856	0.04011400829
857	0.04006902218
858	0.0400145416
859	0.03994023875
860	0.03987597914
861	0.03983573909
862	0.03979957716
863	0.03974797703
864	0.03969303294
865	0.03964822334
866	0.03958372923
867	0.03956412845
868	0.03952356552
869	0.03949393252
870	0.03946405782
871	0.03939183314
872	0.03935598292
873	0.03931911089
874	0.03925069686
875	0.03921243858
876	0.03915430154
877	0.03913110906
878	0.03908044232
879	0.03906456137
880	0.03901352061
881	0.03899568378
882	0.03896516278
883	0.03891582336
884	0.03884296237
885	0.03879542208
886	0.03872542863
887	0.03871099583
888	0.03867449394
889	0.03860392487
890	0.03856984101
891	0.03851946515
892	0.03843206114
893	0.03839733689
894	0.03833551816
895	0.03829242981
896	0.03825720956
897	0.03820652957
898	0.03817494596
899	0.03813114185
900	0.03811058784
901	0.03806498432
902	0.03801220299
903	0.03798246665
904	0.03796981701
905	0.037916865
906	0.03787330608
907	0.03783105456
908	0.0377938339
909	0.0377308789
910	0.03766992313
911	0.03763375689
912	0.03759719254
913	0.03757206057
914	0.03753324851
915	0.0374879228
916	0.03743710902
917	0.03741802526
918	0.03739691662
919	0.03736862593
920	0.03731671459
921	0.03726203973
922	0.03720102088
923	0.0371695203
924	0.03712074816
925	0.03704448796
926	0.03701473426
927	0.03697739619
928	0.03692640434
929	0.03690112904
930	0.03686987525
931	0.03683732813
932	0.03680494674
933	0.03677417217
934	0.03671369681
935	0.03667168969
936	0.03662914192
937	0.03660432308
938	0.03656687074
939	0.03649637208
940	0.03646803297
941	0.03643260604
942	0.03641141646
943	0.03638149665
944	0.03634171972
945	0.03631420655
946	0.03627585072
947	0.03624699683
948	0.03622177336
949	0.03616779502
950	0.03613204859
951	0.03608821082
952	0.03606025122
953	0.03601729266
954	0.03596144131
955	0.03591750348
956	0.03589833084
957	0.03587718905
958	0.03581428137
959	0.035761041
960	0.03571511059
961	0.03568392874
962	0.03565656189
963	0.03562610398
964	0.03557383999
965	0.03552697293
966	0.03545813866
967	0.03541844951
968	0.03538189958
969	0.03535702743
970	0.03531329344
971	0.03526689228
972	0.03523619873
973	0.03519782492
974	0.03517227931
975	0.03514052496
976	0.03510517479
977	0.03507341851
978	0.03501617919
979	0.03497487937
980	0.0349633748
981	0.03491528555
982	0.03488782758
983	0.03483694432
984	0.03478603004
985	0.03473981205
986	0.03471232259
987	0.034665556
988	0.03464730458
989	0.03462104222
990	0.03456828608
991	0.03451606299
992	0.0344932402
993	0.03447444462
994	0.03441497078
995	0.03438458267
996	0.03436654814
997	0.03433734385
998	0.03432820481
999	0.03428720339
